Date,Purwokerto,Surakarta,Semarang,Tegal
2006-01-31,67.44,74.71,68.02,67.24
2006-02-28,67.54,75.01,68.41,67.51
2006-03-31,67.16,74.71,68.40,67.56
2006-04-30,66.97,74.56,68.35,67.66
2006-05-31,67.64,74.97,68.72,67.93
2006-06-30,68.07,75.34,69.00,68.05
2006-07-31,68.27,75.36,69.30,68.32
2006-08-31,68.38,75.42,69.65,68.75
2006-09-30,69.57,75.61,70.02,69.05
2006-10-31,70.14,76.13,70.46,70.64
2006-11-30,70.46,76.32,70.55,70.53
2006-12-31,71.30,77.44,71.12,71.25
2007-01-31,71.89,78.07,71.37,71.66
2007-02-28,72.82,78.57,72.58,72.45
2007-03-31,72.89,78.36,72.80,72.44
2007-04-30,72.74,77.87,72.56,72.85
2007-05-31,73.05,78.02,72.90,73.14
2007-06-30,73.86,78.09,73.19,73.34
2007-07-31,74.36,78.20,73.68,73.68
2007-08-31,74.43,78.54,74.17,74.72
2007-09-30,75.49,78.86,74.64,75.43
2007-10-31,75.83,79.37,75.24,77.07
2007-11-30,75.42,79.54,75.37,76.84
2007-12-31,75.70,79.99,75.92,77.60
2008-01-31,76.76,81.17,76.84,78.85
2008-02-29,77.31,81.89,77.95,79.31
2008-03-31,78.41,82.19,79.09,79.71
2008-04-30,78.70,82.29,79.46,79.79
2008-05-31,79.46,83.45,80.41,80.75
2008-06-30,81.64,85.22,82.34,82.22
2008-07-31,83.75,86.53,83.34,83.67
2008-08-31,83.78,86.56,83.85,83.85
2008-09-30,84.53,86.71,84.68,84.17
2008-10-31,85.44,87.28,85.12,84.58
2008-11-30,85.37,87.39,85.18,84.74
2008-12-31,85.51,86.82,84.82,84.55
2009-01-31,85.23,86.67,84.74,84.63
2009-02-28,85.67,87.25,84.85,85.45
2009-03-31,86.19,87.50,85.42,85.44
2009-04-30,86.00,87.48,85.28,85.57
2009-05-31,86.03,87.76,85.35,86.00
2009-06-30,86.29,87.90,85.47,86.33
2009-07-31,86.30,88.04,85.86,86.73
2009-08-31,86.57,88.41,86.14,87.13
2009-09-30,87.30,88.96,87.15,89.05
2009-10-31,87.62,89.09,87.50,88.93
2009-11-30,87.65,88.83,87.27,89.01
2009-12-31,87.94,89.08,87.50,89.47
2010-01-31,88.82,89.64,88.16,90.10
2010-02-28,89.22,89.90,88.57,90.26
2010-03-31,88.92,89.69,88.40,90.02
2010-04-30,88.96,89.86,88.72,90.10
2010-05-31,89.18,90.00,88.74,90.16
2010-06-30,90.00,91.11,89.49,91.36
2010-07-31,91.09,92.33,91.04,92.12
2010-08-31,91.64,92.48,91.52,92.60
2010-09-30,91.99,92.85,92.47,93.78
2010-10-31,92.24,92.94,92.49,93.84
2010-11-30,92.76,93.38,93.07,94.46
2010-12-31,93.24,95.01,93.72,95.49
2011-01-31,94.13,95.61,94.28,95.80
2011-02-28,94.30,94.98,94.17,95.68
2011-03-31,93.89,94.22,94.07,95.87
2011-04-30,93.72,93.93,93.56,95.37
2011-05-31,93.96,93.65,93.68,95.45
2011-06-30,94.25,94.23,94.08,95.79
2011-07-31,94.93,94.90,94.71,96.78
2011-08-31,95.36,95.51,95.25,97.33
2011-09-30,95.59,95.74,95.74,97.65
2011-10-31,95.81,95.77,95.56,97.40
2011-11-30,96.35,96.23,96.05,97.89
2011-12-31,96.42,96.82,96.41,97.95
2012-01-31,97.07,97.04,96.82,98.55
2012-02-29,97.62,97.11,97.17,98.34
2012-03-31,97.41,97.39,97.49,98.16
2012-04-30,97.50,97.51,97.63,98.31
2012-05-31,97.92,97.79,97.98,98.84
2012-06-30,98.24,98.62,98.65,99.37
2012-07-31,99.07,99.11,99.47,99.67
2012-08-31,99.91,99.62,100.72,101.00
2012-09-30,100.08,99.05,100.62,101.06
2012-10-31,100.37,99.37,100.69,100.96
2012-11-30,100.45,99.56,100.68,100.58
2012-12-31,100.98,99.86,101.09,100.99
2013-01-31,102.63,101.19,102.09,101.76
2013-02-28,103.04,102.23,103.01,102.00
2013-03-31,103.49,103.70,103.99,102.11
2013-04-30,103.32,103.43,103.54,102.07
2013-05-31,103.38,102.77,103.37,101.73
2013-06-30,104.91,103.97,104.26,102.54
2013-07-31,107.89,108.03,107.91,104.98
2013-08-31,109.05,108.52,109.26,107.05
2013-09-30,108.28,107.05,108.59,106.89
2013-10-31,109.23,107.48,108.72,106.68
2013-11-30,109.27,107.80,109.18,106.52
2013-12-31,109.59,108.18,109.41,106.82
2014-01-31,110.49,109.50,110.39,107.62
2014-02-28,111.05,109.81,110.66,108.47
2014-03-31,111.37,110.11,110.96,108.69
2014-04-30,111.28,109.94,110.92,108.29
2014-05-31,111.37,110.22,111.20,108.3
2014-06-30,111.90,110.78,112.15,108.95
2014-07-31,112.82,111.43,112.85,109.81
2014-08-31,113.30,111.94,113.31,110.44
2014-09-30,113.03,112.06,113.77,110.64
